pid,product_name,brand,product_url,retail_price,discounted_price,product_rating
CAGE3FX7XZGYHGRJ,Spinz Combo Set,,http://www.flipkart.com/spinz-combo-set/p/itme3fx77hfsyzq5?pid=CAGE3FX7XZGYHGRJ,499,175,5.0
CAGE3FX7XZGYHGRJ,Spinz Combo Set,,http://www.flipkart.com/spinz-combo-set/p/itme3fx77hfsyzq5?pid=CAGE3FX7XZGYHGRJ,499,175,5.0
MUGE6S9YZ25CHZRN,"Prithish I Love Dad, Father's Day Ceramic Mug",,http://www.flipkart.com/prithish-love-dad-father-s-day-ceramic-mug/p/itme6s9ybytwbamn?pid=MUGE6S9YZ25CHZRN,499,175,5.0
MUGE6SYUHXASZBRF,Prithish Forever in Love with You Ceramic Mug,,http://www.flipkart.com/prithish-forever-love-you-ceramic-mug/p/itme6syuuqhzbfhh?pid=MUGE6SYUHXASZBRF,499,175,5.0
MUGE75ZZ3G2NGKXZ,Prithish Happy Birthday Ceramic Mug,,http://www.flipkart.com/prithish-happy-birthday-ceramic-mug/p/itme75zzdbjbfhyy?pid=MUGE75ZZ3G2NGKXZ,499,175,5.0
MUGE9HRRTTGNEANM,Prithish Virgo Ceramic Mug,,http://www.flipkart.com/prithish-virgo-ceramic-mug/p/itme9hrravywdazu?pid=MUGE9HRRTTGNEANM,499,175,5.0
MUGEBJ7XD5GRWVX8,"Prithish Crazy World, Gotta Smile Ceramic Mug",,http://www.flipkart.com/prithish-crazy-world-gotta-smile-ceramic-mug/p/itmebj7xf3bpvgyf?pid=MUGEBJ7XD5GRWVX8,499,175,5.0
NKCDUYA5RGAGR4PY,Trinketbag Red Tie Alloy Necklace,Trinketbag,http://www.flipkart.com/trinketbag-red-tie-alloy-necklace/p/itmduvk2cujqhrfk?pid=NKCDUYA5RGAGR4PY,499,199,5.0
NKCDUYA5RGAGR4PY,Trinketbag Red Tie Alloy Necklace,Trinketbag,http://www.flipkart.com/trinketbag-red-tie-alloy-necklace/p/itmduvk2cujqhrfk?pid=NKCDUYA5RGAGR4PY,499,199,5.0
NKCE8RB5WMWAWNHJ,"Indian Charm Glass, Metal Necklace",Indian Charm,http://www.flipkart.com/indian-charm-glass-metal-necklace/p/itme8rb52nnryneq?pid=NKCE8RB5WMWAWNHJ,499,199,5.0
NKCEFG3C6TAZNNBY,"Vinnis Pretty Please Metal, Acrylic, Alloy Necklace",Vinnis,http://www.flipkart.com/vinnis-pretty-please-metal-acrylic-alloy-necklace/p/itmefg3cyqtqhkyu?pid=NKCEFG3C6TAZNNBY,499,245,5.0
NKCEFG3DBZ4EX4SJ,"Vinnis Pretty Please Metal, Acrylic, Alloy Necklace",Vinnis,http://www.flipkart.com/vinnis-pretty-please-metal-acrylic-alloy-necklace/p/itmefg3dmngswv9j?pid=NKCEFG3DBZ4EX4SJ,499,149,5.0
NKCEFG3DBZ4EX4SJ,"Vinnis Pretty Please Metal, Acrylic, Alloy Necklace",Vinnis,http://www.flipkart.com/vinnis-pretty-please-metal-acrylic-alloy-necklace/p/itmefg3dmngswv9j?pid=NKCEFG3DBZ4EX4SJ,499,149,5.0
NKCEFG3DBZ4EX4SJ,"Vinnis Pretty Please Metal, Acrylic, Alloy Necklace",Vinnis,http://www.flipkart.com/vinnis-pretty-please-metal-acrylic-alloy-necklace/p/itmefg3dmngswv9j?pid=NKCEFG3DBZ4EX4SJ,499,149,5.0
NKCEFG3DBZ4EX4SJ,"Vinnis Pretty Please Metal, Acrylic, Alloy Necklace",Vinnis,http://www.flipkart.com/vinnis-pretty-please-metal-acrylic-alloy-necklace/p/itmefg3dmngswv9j?pid=NKCEFG3DBZ4EX4SJ,499,149,5.0
NKCEFG3DBZ4EX4SJ,"Vinnis Pretty Please Metal, Acrylic, Alloy Necklace",Vinnis,http://www.flipkart.com/vinnis-pretty-please-metal-acrylic-alloy-necklace/p/itmefg3dmngswv9j?pid=NKCEFG3DBZ4EX4SJ,499,149,5.0
PBXE6ZHNEGF3VGZW,AOC Pencil Pouch Polka Dots Art Cloth Pencil Box,,http://www.flipkart.com/aoc-pencil-pouch-polka-dots-art-cloth-box/p/itme6zckpdfu6kgg?pid=PBXE6ZHNEGF3VGZW,499,149,5.0
SHOEGWVEARZFYHUZ,ASIAN Walking Shoes,ASIAN,http://www.flipkart.com/asian-walking-shoes/p/itmegwvesacgjv58?pid=SHOEGWVEARZFYHUZ,499,250,5.0
SHOEGWVEARZFYHUZ,ASIAN Walking Shoes,ASIAN,http://www.flipkart.com/asian-walking-shoes/p/itmegwvesacgjv58?pid=SHOEGWVEARZFYHUZ,499,250,5.0
SHOEGWVEARZFYHUZ,ASIAN Walking Shoes,ASIAN,http://www.flipkart.com/asian-walking-shoes/p/itmegwvesacgjv58?pid=SHOEGWVEARZFYHUZ,499,250,5.0
SHOEGWVEARZFYHUZ,ASIAN Walking Shoes,ASIAN,http://www.flipkart.com/asian-walking-shoes/p/itmegwvesacgjv58?pid=SHOEGWVEARZFYHUZ,499,250,5.0
SNDEBG864TPNPGSE,Elligator Women Sports Sandals,,http://www.flipkart.com/elligator-women-sports-sandals/p/itmebg86hngjhvsd?pid=SNDEBG864TPNPGSE,499,250,5.0
UMBEGFF6VMYKCFVZ,Elephant Brand 3 Fold Polka Dotted Prints - Manual Open Umbrella,Elephant Brand,http://www.flipkart.com/elephant-brand-3-fold-polka-dotted-prints-manual-open-umbrella/p/itmegff6f4zjpkap?pid=UMBEGFF6VMYKCFVZ,499,299,5.0
UMBEGFF6VMYKCFVZ,Elephant Brand 3 Fold Polka Dotted Prints - Manual Open Umbrella,Elephant Brand,http://www.flipkart.com/elephant-brand-3-fold-polka-dotted-prints-manual-open-umbrella/p/itmegff6f4zjpkap?pid=UMBEGFF6VMYKCFVZ,499,299,5.0
UMBEGFF6VMYKCFVZ,Elephant Brand 3 Fold Polka Dotted Prints - Manual Open Umbrella,Elephant Brand,http://www.flipkart.com/elephant-brand-3-fold-polka-dotted-prints-manual-open-umbrella/p/itmegff6f4zjpkap?pid=UMBEGFF6VMYKCFVZ,499,299,5.0
UMBEGFF6VMYKCFVZ,Elephant Brand 3 Fold Polka Dotted Prints - Manual Open Umbrella,Elephant Brand,http://www.flipkart.com/elephant-brand-3-fold-polka-dotted-prints-manual-open-umbrella/p/itmegff6f4zjpkap?pid=UMBEGFF6VMYKCFVZ,499,299,5.0
UMBEGFF6VMYKCFVZ,Elephant Brand 3 Fold Polka Dotted Prints - Manual Open Umbrella,Elephant Brand,http://www.flipkart.com/elephant-brand-3-fold-polka-dotted-prints-manual-open-umbrella/p/itmegff6f4zjpkap?pid=UMBEGFF6VMYKCFVZ,499,299,5.0
UMBEGFF6VMYKCFVZ,Elephant Brand 3 Fold Polka Dotted Prints - Manual Open Umbrella,Elephant Brand,http://www.flipkart.com/elephant-brand-3-fold-polka-dotted-prints-manual-open-umbrella/p/itmegff6f4zjpkap?pid=UMBEGFF6VMYKCFVZ,499,299,5.0
BALDXVA6HJASHTDW,Nivia Destroyer Basketball -   Size: 7,,http://www.flipkart.com/nivia-destroyer-basketball-size-7/p/itmdxvabcqzsqehe?pid=BALDXVA6HJASHTDW,520,299,5.0
SNDE85CH2PN36BUZ,Dolphin Miles Women Wedges,,http://www.flipkart.com/dolphin-miles-women-wedges/p/itme85chq4z4qrvz?pid=SNDE85CH2PN36BUZ,525,219,5.0
